game_id,names,min_players,max_players,avg_time,year,avg_rating,geek_rating,num_votes,age,mechanic,owned,category,designer,publisher,weight,expands,Category_1,Category_2,Category_3,Category_4,Mechanic_1,Mechanic_2,Mechanic_3,Mechanic_4,Mechanic_5
14,Basari,3,4,25.0,1998,6.75967,6.17338,1591.0,10,"Roll / Spin and Move, Set Collection, Simultaneous Action Selection",1799,Negotiation,Reinhard Staupe,F.X. Schmid,1.8611,Nothing,Negotiation,,,,Roll / Spin and Move,Set Collection,Simultaneous Action Selection,,
15,Cosmic Encounter,2,6,90.0,1977,6.90709,6.47299,3810.0,12,"Hand Management, Negotiation, Variable Player Powers",4211,"Bluffing, Negotiation, Science Fiction","Bill Eberle, Jack Kittredge, Bill Norton, Peter Olotka",Eon,2.3632,Nothing,Bluffing,Negotiation,Science Fiction,,Hand Management,Negotiation,Variable Player Powers,,
16,MarraCash,3,4,60.0,1996,6.81423,6.02885,922.0,12,Auction/Bidding,1137,Economic,Stefan Dorra,KOSMOS,2.1505,Nothing,Economic,,,,Auction/Bidding,,,,
17,Button Men,2,2,5.0,1999,6.35753,5.78718,790.0,10,"Dice Rolling, Push Your Luck",1295,"Collectible Components, Dice, Fighting, Print & Play",James Ernest,Cheapass Games,1.527,Nothing,Collectible Components,Dice,Fighting,Print & Play,Dice Rolling,Push Your Luck,,,
18,RoboRally,2,8,120.0,1994,7.08966,6.95654,21901.0,12,"Action Queue, Bias, Grid Movement, Lose a Turn, Modular Board, Programmed Movement, Race, Scenario / Mission / Campaign Game, Simultaneous Action Selection",25355,"Maze, Miniatures, Racing, Science Fiction",Richard Garfield,Wizards of the Coast,2.4295,Nothing,Maze,Miniatures,Racing,Science Fiction,Action Queue,Bias,Grid Movement,Lose a Turn,Modular Board
19,Wacky Wacky West,2,4,45.0,1991,6.29645,5.92014,1661.0,9,"Tile Placement, Voting",2986,"American West, Bluffing, City Building",Klaus Teuber,Hans im Glück,1.8397,Nothing,American West,Bluffing,City Building,,Tile Placement,Voting,,,
20,Full Metal Planète,2,4,90.0,1988,7.48983,6.12479,696.0,12,"Action Points, Hexagon Grid",931,Science Fiction,"Gérard Delfanti, Gérard Mathieu, Pascal Trigaux",Ludodélire,3.1333,Nothing,Science Fiction,,,,Action Points,Hexagon Grid,,,
22,Magic Realm,1,16,240.0,1979,7.17998,6.40506,1931.0,12,"Action Queue, Dice Rolling, Modular Board, Role Playing, Simultaneous Action Selection, Variable Player Powers",3667,"Adventure, Exploration, Fantasy",Richard Hamblen,The Avalon Hill Game Co,4.5177,Nothing,Adventure,Exploration,Fantasy,,Action Queue,Dice Rolling,Modular Board,Role Playing,Simultaneous Action Selection
23,Divine Right,2,6,360.0,1979,7.07757,5.87042,539.0,12,"Dice Rolling, Hexagon Grid, Simulation, Variable Phase Order",1055,"Fantasy, Political, Wargame","Glenn Rahman, Kenneth Rahman",Right Stuf,3.1831,Nothing,Fantasy,Political,Wargame,,Dice Rolling,Hexagon Grid,Simulation,Variable Phase Order,
24,Twilight Imperium,2,6,240.0,1997,6.6467,5.83412,686.0,12,"Dice Rolling, Hexagon Grid, Modular Board, Tile Placement, Variable Player Powers, Voting",844,"Civilization, Negotiation, Political, Science Fiction, Space Exploration, Wargame",Christian T. Petersen,Fantasy Flight Games,3.4906,Nothing,Civilization,Negotiation,Political,Science Fiction,Dice Rolling,Hexagon Grid,Modular Board,Tile Placement,Variable Player Powers
26,Age of Renaissance,3,6,300.0,1996,7.10183,6.41305,2098.0,12,"Area Movement, Auction/Bidding",2792,"Civilization, Economic, Medieval, Renaissance","Don Greenwood, Jared Scarborough",The Avalon Hill Game Co,3.8593,Nothing,Civilization,Economic,Medieval,Renaissance,Area Movement,Auction/Bidding,,,
27,Supremacy,2,6,340.0,1984,5.62894,5.50409,1307.0,12,"Commodity Speculation, Dice Rolling",2218,"Economic, Political, Wargame",Robert J. Simpson,Descartes Editeur,3.1293,Nothing,Economic,Political,Wargame,,Commodity Speculation,Dice Rolling,,,
28,Illuminati (Second Edition),2,8,180.0,1987,6.49052,6.19155,4733.0,12,"Card Drafting, Dice Rolling, Network and Route Building, Tile Placement, Variable Player Powers",8268,"Card Game, Humor, Negotiation, Political, Science Fiction",Steve Jackson (I),Steve Jackson Games,2.6525,Nothing,Card Game,Humor,Negotiation,Political,Card Drafting,Dice Rolling,Network and Route Building,Tile Placement,Variable Player Powers
30,Dark Tower,1,4,90.0,1981,6.768,5.97921,1214.0,10,"Area Movement, Push Your Luck",1571,"Adventure, Electronic, Exploration, Fantasy, Fighting","Roger Burten, Alan Coleman, Vincent A. A. J. Erato",Milton Bradley,1.8125,Nothing,Adventure,Electronic,Exploration,Fantasy,Area Movement,Push Your Luck,,,
31,Dark World,2,5,90.0,1991,5.28489,5.40877,712.0,10,"Dice Rolling, Grid Movement",1826,"Adventure, Exploration, Fantasy, Fighting, Miniatures",Eamon Bloomfield,AS Company,1.9231,Nothing,Adventure,Exploration,Fantasy,Fighting,Dice Rolling,Grid Movement,,,
34,Arkham Horror,1,8,180.0,1987,6.62066,5.75849,511.0,12,"Cooperative Game, Role Playing, Variable Player Powers",834,"Adventure, Horror, Novel-based","Charlie Krank, Richard Launius, Sandy Petersen, Lynn Willis",Chaosium,2.3404,Nothing,Adventure,Horror,Novel-based,,Cooperative Game,Role Playing,Variable Player Powers,,
41,Can't Stop,2,4,30.0,1980,6.85216,6.69452,11746.0,9,"Dice Rolling, Push Your Luck",10876,Dice,Sid Sackson,Parker Brothers,1.1594,Nothing,Dice,,,,Dice Rolling,Push Your Luck,,,
42,Tigris & Euphrates,2,4,90.0,1997,7.69841,7.54283,24293.0,12,"Area Majority / Influence, Hand Management, Highest-Lowest Scoring, Set Collection, Tile Placement",27045,"Ancient, Civilization, Territory Building",Reiner Knizia,Hans im Glück,3.5121,Nothing,Ancient,Civilization,Territory Building,,Area Majority / Influence,Hand Management,Highest-Lowest Scoring,Set Collection,Tile Placement
44,David & Goliath,3,6,60.0,1997,6.44463,5.99421,1539.0,8,Trick-taking,1861,Card Game,Reinhard Staupe,Berliner Spielkarten,1.6257,Nothing,Card Game,,,,Trick-taking,,,,
46,Medici,2,6,60.0,1995,7.14299,6.85211,6898.0,10,"Auction/Bidding, Push Your Luck, Set Collection",7272,Renaissance,Reiner Knizia,AMIGO,2.26,Nothing,Renaissance,,,,Auction/Bidding,Push Your Luck,Set Collection,,
47,Chinatown,3,5,60.0,1999,7.30739,7.01251,7773.0,12,"Set Collection, Tile Placement, Trading",9122,"City Building, Economic, Negotiation",Karsten Hartwig,alea,2.2869,Nothing,City Building,Economic,Negotiation,,Set Collection,Tile Placement,Trading,,
48,Krieg und Frieden,2,4,90.0,1999,6.12274,5.69842,692.0,12,Auction/Bidding,1368,"Medieval, Political",Gerard Mulder,999 Games,2.4638,Nothing,Medieval,Political,,,Auction/Bidding,,,,
49,Mamma Mia!,2,5,30.0,1998,6.47534,6.25887,5526.0,10,"Hand Management, Memory",7271,Card Game,Uwe Rosenberg,ABACUSSPIELE,1.3687,Nothing,Card Game,,,,Hand Management,Memory,,,
50,Lost Cities,2,2,30.0,1999,7.1665,7.07043,34595.0,10,"Hand Management, Score-and-Reset Game, Set Collection",47411,"Card Game, Exploration",Reiner Knizia,KOSMOS,1.5028,Nothing,Card Game,Exploration,,,Hand Management,Score-and-Reset Game,Set Collection,,
51,Ricochet Robots,1,99,30.0,1999,7.00279,6.73788,7646.0,10,"Grid Movement, Modular Board",7769,"Abstract Strategy, Maze, Puzzle, Real-time",Alex Randolph,Hans im Glück,2.4256,Nothing,Abstract Strategy,Maze,Puzzle,Real-time,Grid Movement,Modular Board,,,
54,Tikal,2,4,90.0,1999,7.3436,7.17194,17135.0,10,"Action Points, Area Majority / Influence, Auction/Bidding, Grid Movement, Hexagon Grid, Map Addition, Modular Board, Set Collection, Tile Placement",21665,"Exploration, Territory Building","Michael Kiesling, Wolfgang Kramer",Ravensburger Spieleverlag GmbH,2.8043,Nothing,Exploration,Territory Building,,,Action Points,Area Majority / Influence,Auction/Bidding,Grid Movement,Hexagon Grid
58,Kings & Things,2,4,120.0,1986,6.51255,6.01139,1581.0,12,"Area Majority / Influence, Area Movement, Hexagon Grid, Modular Board, Secret Unit Deployment",3270,"Bluffing, Exploration, Fantasy, Territory Building, Wargame","Doug Kaufman, Robert J. Kuntz, Tom Wham",Games Workshop Ltd.,2.6437,Nothing,Bluffing,Exploration,Fantasy,Territory Building,Area Majority / Influence,Area Movement,Hexagon Grid,Modular Board,Secret Unit Deployment
59,Giganten,3,4,90.0,1999,6.70848,6.09707,1366.0,10,"Auction/Bidding, Commodity Speculation",1852,"Economic, Exploration, Industry / Manufacturing",Wilko Manz,KOSMOS,2.5735,Nothing,Economic,Exploration,Industry / Manufacturing,,Auction/Bidding,Commodity Speculation,,,
60,Vinci,3,6,90.0,1999,7.09871,6.65727,3883.0,14,"Area Majority / Influence, Area Movement, Increase Value of Unchosen Resources, Variable Player Powers",3668,"Ancient, Civilization, Territory Building",Philippe Keyaerts,Descartes Editeur,2.7808,Nothing,Ancient,Civilization,Territory Building,,Area Majority / Influence,Area Movement,Increase Value of Unchosen Resources,Variable Player Powers,
61,Fossil,2,6,40.0,1998,5.44259,5.47903,650.0,10,Set Collection,935,Ancient,Klaus Palesch,Goldsieber Spiele,1.74,Nothing,Ancient,,,,Set Collection,,,,
66,Löwenherz,2,4,90.0,1997,7.04375,6.46607,2371.0,12,"Area Majority / Influence, Auction/Bidding, Modular Board",3367,"Medieval, Political",Klaus Teuber,Goldsieber Spiele,2.9286,Nothing,Medieval,Political,,,Area Majority / Influence,Auction/Bidding,Modular Board,,
70,Big City,2,5,60.0,1999,6.88005,6.35323,2315.0,10,"Hand Management, Modular Board, Tile Placement",2479,City Building,Franz-Benno Delonge,Goldsieber Spiele,2.2179,Nothing,City Building,,,,Hand Management,Modular Board,Tile Placement,,
71,Civilization,2,7,360.0,1980,7.50362,7.11792,6939.0,12,"Area Majority / Influence, Area Movement, Hand Management, Set Collection, Tech Trees / Tech Tracks, Trading, Turn Order: Stat-Based",9746,"Ancient, Civilization, Economic, Negotiation",Francis Tresham,Hartland Trefoil Ltd.,3.6571,Nothing,Ancient,Civilization,Economic,Negotiation,Area Majority / Influence,Area Movement,Hand Management,Set Collection,Tech Trees / Tech Tracks
72,Verräter,3,4,60.0,1998,6.71231,6.18775,1861.0,12,"Card Drafting, Hand Management, Modular Board, Team-Based Game, Variable Player Powers",4040,"Card Game, Political",Marcel-André Casasola Merkle,Adlung-Spiele,2.5707,Nothing,Card Game,Political,,,Card Drafting,Hand Management,Modular Board,Team-Based Game,Variable Player Powers
73,Show Manager,2,6,60.0,1996,7.0122,6.30826,1648.0,10,"Card Drafting, Set Collection",1848,Card Game,Dirk Henn,Queen Games,2.0949,Nothing,Card Game,,,,Card Drafting,Set Collection,,,
74,Apples to Apples,4,10,30.0,1999,5.83231,5.72222,16981.0,12,"Hand Management, Player Judge, Simultaneous Action Selection",24429,"Card Game, Humor, Party Game","Matthew Kirby, Mark Alan Osterhaus","Beverly Enterprises, Inc.",1.1627,Nothing,Card Game,Humor,Party Game,,Hand Management,Player Judge,Simultaneous Action Selection,,
75,Falling,4,8,5.0,1998,5.48417,5.47611,1365.0,8,Hand Management,2358,"Card Game, Fantasy, Print & Play, Real-time",James Ernest,Cheapass Games,1.2231,Nothing,Card Game,Fantasy,Print & Play,Real-time,Hand Management,,,,
76,Air Baron,2,6,120.0,1996,6.3895,5.78547,749.0,10,"Area Majority / Influence, Chit-Pull System, Dice Rolling",963,"Aviation / Flight, Economic, Territory Building",Evan Davis (I),The Avalon Hill Game Co,2.5543,Nothing,Aviation / Flight,Economic,Territory Building,,Area Majority / Influence,Chit-Pull System,Dice Rolling,,
77,"EastFront: The War in Russia, 1941-45",2,2,240.0,1991,7.65456,6.1527,655.0,12,"Dice Rolling, Hexagon Grid, Secret Unit Deployment, Simulation",1108,"Wargame, World War II","Craig Besinque, Tom Dalgliesh",Columbia Games,3.6111,Nothing,Wargame,World War II,,,Dice Rolling,Hexagon Grid,Secret Unit Deployment,Simulation,
84,Rommel in the Desert,2,2,150.0,1982,7.54612,6.30987,962.0,12,"Dice Rolling, Hexagon Grid, Secret Unit Deployment",2036,"Wargame, World War II",Craig Besinque,Columbia Games,3.4305,Nothing,Wargame,World War II,,,Dice Rolling,Hexagon Grid,Secret Unit Deployment,,
85,Quebec 1759,2,2,60.0,1972,6.93916,5.94045,679.0,12,"Dice Rolling, Point to Point Movement, Secret Unit Deployment",1240,"Age of Reason, Wargame","Steve Brewster, Tom Dalgliesh, Lance Gutteridge",Columbia Games,2.1529,Nothing,Age of Reason,Wargame,,,Dice Rolling,Point to Point Movement,Secret Unit Deployment,,
88,Torres,2,4,60.0,1999,7.13935,6.87367,8343.0,12,"Action Points, Area Majority / Influence, Enclosure, Grid Movement, Hand Management, Square Grid, Tile Placement",11105,"Abstract Strategy, Medieval","Michael Kiesling, Wolfgang Kramer",F.X. Schmid,2.8719,Nothing,Abstract Strategy,Medieval,,,Action Points,Area Majority / Influence,Enclosure,Grid Movement,Hand Management
90,Star Wars: Episode 1 – Clash of the Lightsabers,2,2,20.0,1999,6.21678,5.71369,572.0,8,Hand Management,1014,"Card Game, Movies / TV / Radio theme, Science Fiction",Craig Van Ness,Hasbro,1.4262,Nothing,Card Game,Movies / TV / Radio theme,Science Fiction,,Hand Management,,,,
91,Paths of Glory,2,2,480.0,1999,8.04975,7.38053,4294.0,14,"Campaign / Battle Card Driven, Dice Rolling, Point to Point Movement",8148,"Wargame, World War I",Ted Raicer,GMT Games,3.8285,Nothing,Wargame,World War I,,,Campaign / Battle Card Driven,Dice Rolling,Point to Point Movement,,
93,El Grande,2,5,120.0,1995,7.76277,7.60649,22478.0,12,"Area Majority / Influence, Area Movement, Auction/Bidding, Card Drafting, Hand Management, Memory, Simultaneous Action Selection",21554,"Medieval, Renaissance","Wolfgang Kramer, Richard Ulrich",Hans im Glück,3.0626,Nothing,Medieval,Renaissance,,,Area Majority / Influence,Area Movement,Auction/Bidding,Card Drafting,Hand Management
94,Union Pacific,2,6,90.0,1999,7.21666,6.77548,4129.0,12,"Card Drafting, Network and Route Building, Stock Holding",4241,"Economic, Trains",Alan R. Moon,AMIGO,2.5508,Nothing,Economic,Trains,,,Card Drafting,Network and Route Building,Stock Holding,,
95,Igel Ärgern,2,6,30.0,1990,6.40781,5.87605,1001.0,8,Roll / Spin and Move,1092,"Animals, Children's Game, Dice, Racing","Doris Matthäus, Frank Nestel",Doris & Frank,1.3821,Nothing,Animals,Children's Game,Dice,Racing,Roll / Spin and Move,,,,
96,Broadsides and Boarding Parties,2,2,60.0,1982,6.15588,5.65778,554.0,10,"Action Queue, Dice Rolling, Hand Management, Point to Point Movement",988,"Nautical, Pirates, Wargame","Larry Harris, Jr.",Citadel's Game Series (CGS),1.8261,Nothing,Nautical,Pirates,Wargame,,Action Queue,Dice Rolling,Hand Management,Point to Point Movement,
97,Conquest of the Empire,2,6,240.0,1984,6.27042,5.76954,992.0,10,"Area Movement, Dice Rolling",1690,"Ancient, Economic, Wargame","Larry Harris, Jr.",Milton Bradley,2.525,Nothing,Ancient,Economic,Wargame,,Area Movement,Dice Rolling,,,
98,Axis & Allies,2,5,180.0,1981,6.55753,6.30323,10004.0,12,"Area Movement, Dice Rolling, Minimap Resolution, Stat Check Resolution, Team-Based Game",13968,"Economic, Wargame, World War II","Larry Harris, Jr.",Jedko Games,3.0402,Nothing,Economic,Wargame,World War II,,Area Movement,Dice Rolling,Minimap Resolution,Stat Check Resolution,Team-Based Game
99,Fortress America,2,4,180.0,1986,6.69521,6.20302,2330.0,12,"Area Movement, Dice Rolling",3677,"Science Fiction, Wargame",Michael Gray,Milton Bradley,2.6444,Nothing,Science Fiction,Wargame,,,Area Movement,Dice Rolling,,,
101,Detroit-Cleveland Grand Prix,2,6,60.0,1996,6.78432,6.05603,1086.0,8,Auction/Bidding,1342,"Card Game, Racing",Wolfgang Kramer,Mayfair Games,1.7,Nothing,Card Game,Racing,,,Auction/Bidding,,,,
102,Klunker,3,5,30.0,1999,6.21777,5.77376,870.0,10,Set Collection,1428,Card Game,Uwe Rosenberg,Hans im Glück,1.7674,Nothing,Card Game,,,,Set Collection,,,,
103,Titan,2,6,240.0,1980,6.96427,6.50241,3809.0,12,"Dice Rolling, Minimap Resolution, Player Elimination, Roll / Spin and Move, Secret Unit Deployment, Set Collection",5442,"Fantasy, Fighting","Jason B. McAllister, David A. Trampier",The Avalon Hill Game Co,3.4606,Nothing,Fantasy,Fighting,,,Dice Rolling,Minimap Resolution,Player Elimination,Roll / Spin and Move,Secret Unit Deployment
105,Colossal Arena,2,5,60.0,1997,6.77918,6.54677,6849.0,8,"Betting and Bluffing, Hand Management",8376,"Card Game, Fantasy, Mythology",Reiner Knizia,The Avalon Hill Game Co,2.0206,Nothing,Card Game,Fantasy,Mythology,,Betting and Bluffing,Hand Management,,,
106,Mystery Rummy: Jack the Ripper,2,4,45.0,1998,6.95342,6.49778,3249.0,10,"Hand Management, Set Collection, Voting",5544,"Card Game, Murder/Mystery",Mike Fitzgerald,Eagle-Gryphon Games,1.7457,Nothing,Card Game,Murder/Mystery,,,Hand Management,Set Collection,Voting,,
108,TAMSK,2,2,20.0,1998,6.77641,6.1069,1323.0,8,"Action Timer, Enclosure, Grid Movement",1991,"Abstract Strategy, Real-time",Kris Burm,Don & Co.,2.2922,Nothing,Abstract Strategy,Real-time,,,Action Timer,Enclosure,Grid Movement,,
110,Auf Achse,2,6,60.0,1987,6.2363,5.87719,1558.0,8,"Auction/Bidding, Pick-up and Deliver, Roll / Spin and Move",2410,"Economic, Movies / TV / Radio theme, Transportation",Wolfgang Kramer,Dino Toys s. r. o.,1.9574,Nothing,Economic,Movies / TV / Radio theme,Transportation,,Auction/Bidding,Pick-up and Deliver,Roll / Spin and Move,,
111,Rheinländer,3,5,45.0,1999,6.60859,6.06496,1496.0,12,"Area Majority / Influence, Enclosure, Hand Management",2044,"Abstract Strategy, Medieval, Territory Building",Reiner Knizia,Face2Face Games,2.422,Nothing,Abstract Strategy,Medieval,Territory Building,,Area Majority / Influence,Enclosure,Hand Management,,
112,Condottiere,2,6,45.0,1995,6.81314,6.59725,8144.0,14,"Area Majority / Influence, Auction/Bidding, Hand Management",10241,"Bluffing, Card Game, Medieval, Negotiation","Dominique Ehrhard, Duccio Vitale",Eurogames,1.9616,Nothing,Bluffing,Card Game,Medieval,Negotiation,Area Majority / Influence,Auction/Bidding,Hand Management,,
115,I'm the Boss!,3,6,60.0,1994,6.79971,6.40547,3437.0,12,"Dice Rolling, Hand Management, Roll / Spin and Move, Set Collection, Take That",3833,Negotiation,Sid Sackson,Eagle-Gryphon Games,1.9742,Nothing,Negotiation,,,,Dice Rolling,Hand Management,Roll / Spin and Move,Set Collection,Take That
116,Guillotine,2,5,30.0,1998,6.53426,6.41129,18684.0,12,"Card Drafting, Hand Management, Take That",26530,"Card Game, Humor",Paul Peterson,Wizards of the Coast,1.2693,Nothing,Card Game,Humor,,,Card Drafting,Hand Management,Take That,,
117,Ta Yü,2,4,45.0,1999,6.96181,6.22541,1427.0,10,"Network and Route Building, Pattern Building, Team-Based Game, Tile Placement",1894,Abstract Strategy,Niek Neuwahl,Crown & Andrews Ltd.,2.0671,Nothing,Abstract Strategy,,,,Network and Route Building,Pattern Building,Team-Based Game,Tile Placement,
118,Modern Art,3,5,45.0,1992,7.38531,7.21112,15597.0,10,"Auction/Bidding, Auction: English, Auction: Once Around, Auction: Sealed Bid, Auction: Turn Order Until Pass, Commodity Speculation, Hand Management",18217,"Card Game, Economic",Reiner Knizia,Hans im Glück,2.3077,Nothing,Card Game,Economic,,,Auction/Bidding,Auction: English,Auction: Once Around,Auction: Sealed Bid,Auction: Turn Order Until Pass
119,Kingdoms,2,4,45.0,1994,6.63695,6.35881,4559.0,9,Tile Placement,5904,"Abstract Strategy, Fantasy, Medieval",Reiner Knizia,Hans im Glück,1.826,Nothing,Abstract Strategy,Fantasy,Medieval,,Tile Placement,,,,
120,Hoity Toity,2,6,45.0,1990,6.52492,6.27478,4808.0,12,"Rock-Paper-Scissors, Set Collection, Simultaneous Action Selection",7128,Bluffing,Klaus Teuber,alea,1.8654,Nothing,Bluffing,,,,Rock-Paper-Scissors,Set Collection,Simultaneous Action Selection,,
121,Dune,2,6,180.0,1979,7.6237,7.12804,5334.0,12,"Alliances, Area Majority / Influence, Area Movement, Auction/Bidding, Hand Management, Team-Based Game, Variable Player Powers",6210,"Bluffing, Fighting, Negotiation, Novel-based, Political, Science Fiction","Bill Eberle, Jack Kittredge, Peter Olotka",The Avalon Hill Game Co,3.444,Nothing,Bluffing,Fighting,Negotiation,Novel-based,Alliances,Area Majority / Influence,Area Movement,Auction/Bidding,Hand Management
122,Quo Vadis?,3,5,45.0,1992,6.45184,6.0668,2107.0,12,"Point to Point Movement, Trading, Voting",2740,"Ancient, Negotiation, Political",Reiner Knizia,AMIGO,2.0725,Nothing,Ancient,Negotiation,Political,,Point to Point Movement,Trading,Voting,,
124,Primordial Soup,3,4,90.0,1997,6.95075,6.5932,4469.0,12,"Bias, Dice Rolling, Grid Movement, Variable Player Powers",5256,Prehistoric,"Doris Matthäus, Frank Nestel",Doris & Frank,2.7302,Nothing,Prehistoric,,,,Bias,Dice Rolling,Grid Movement,Variable Player Powers,
125,Money!,3,5,30.0,1999,6.5329,6.16668,2648.0,10,"Auction/Bidding, Set Collection, Simultaneous Action Selection",3616,Card Game,Reiner Knizia,Eagle-Gryphon Games,1.5498,Nothing,Card Game,,,,Auction/Bidding,Set Collection,Simultaneous Action Selection,,
126,The Really Nasty Horse Racing Game,2,6,90.0,1987,6.26513,5.73285,759.0,12,Betting and Bluffing,1154,"Animals, Racing",Simon Knock,Rascals Products Limited,1.6842,Nothing,Animals,Racing,,,Betting and Bluffing,,,,
128,Take it Easy!,1,8,20.0,1983,6.61801,6.21442,2620.0,10,Tile Placement,3452,"Abstract Strategy, Puzzle",Peter Burley,Burley Games,1.4884,Nothing,Abstract Strategy,Puzzle,,,Tile Placement,,,,
130,Iron Dragon,2,6,240.0,1994,6.9878,6.22378,1548.0,12,"Crayon Rail System, Multiple Maps, Pick-up and Deliver",2368,"Fantasy, Trains, Transportation","Darwin Bromley, Tom Wham",Mayfair Games,2.9444,Nothing,Fantasy,Trains,Transportation,,Crayon Rail System,Multiple Maps,Pick-up and Deliver,,
132,Caesar & Cleopatra,2,2,60.0,1997,6.42292,6.16636,4182.0,10,"Area Majority / Influence, Hand Management, Set Collection",6905,"Ancient, Bluffing, Card Game",Wolfgang Lüdtke,999 Games,1.9138,Nothing,Ancient,Bluffing,Card Game,,Area Majority / Influence,Hand Management,Set Collection,,
134,Cape Horn,3,5,45.0,1999,6.00589,5.63289,535.0,12,Tile Placement,921,"Nautical, Racing",Thorsten Gimmler,KOSMOS,2.0227,Nothing,Nautical,Racing,,,Tile Placement,,,,
135,Kontor,2,4,60.0,1999,5.95279,5.64628,745.0,12,"Area Majority / Influence, Commodity Speculation, Tile Placement",1570,"City Building, Nautical, Renaissance",Michael Schacht,999 Games,2.2078,Nothing,City Building,Nautical,Renaissance,,Area Majority / Influence,Commodity Speculation,Tile Placement,,
137,Pass the Bomb,2,10,20.0,1994,5.83402,5.63868,1180.0,12,Dice Rolling,2134,"Electronic, Party Game, Real-time, Word Game","Sylvie Barc, Roger Heyworth, Los Rodriguez, Juan Rodriguez",Anvol,1.3158,Nothing,Electronic,Party Game,Real-time,Word Game,Dice Rolling,,,,
141,Andromeda,3,5,60.0,1999,6.38471,5.90734,1275.0,10,"Area Majority / Influence, Set Collection, Trading",1804,"Science Fiction, Space Exploration, Territory Building",Alan R. Moon,999 Games,2.2266,Nothing,Science Fiction,Space Exploration,Territory Building,,Area Majority / Influence,Set Collection,Trading,,
142,Vino,3,5,90.0,1999,6.45558,5.80773,666.0,12,"Area Majority / Influence, Commodity Speculation, Simultaneous Action Selection",877,Economic,Christwart Conrad,Goldsieber Spiele,2.9841,Nothing,Economic,,,,Area Majority / Influence,Commodity Speculation,Simultaneous Action Selection,,
146,Buy Low Sell High,2,4,60.0,1996,6.14767,5.73746,854.0,12,Commodity Speculation,1182,Economic,Reiner Knizia,Editrice Giochi,1.9906,Nothing,Economic,,,,Commodity Speculation,,,,
